SITE_ID,IGBP,GRP_LOCATION.LOCATION_LAT,GRP_LOCATION.LOCATION_LONG,GRP_LOCATION.LOCATION_ELEV,GRP_CLIM_AVG.MAT,GRP_CLIM_AVG.MAP,GRP_CLIM_AVG.CLIMATE_KOEPPEN,UTC_OFFSET,data_year_length,SC_source,NEE_source,FC,FC_F,SC,SC_F,NEE,NEE_F,LE,LE_F,H,H_F,USTAR,USTAR_F,NETRAD,NETRAD_F,TA,TA_F,VPD,VPD_F,WS,WS_F,SWC,SWC_F,SW_IN,SW_IN_F
US-Me4,ENF,44.4992,-121.6224,922,7.61,1038.82,Csb,-8,5,-9999,NEE,0.490455665024631,1,0.129219120598431,0.791666666666667,0.200328407224959,1,0.200328407224959,1,0.199210910417807,1,0.683052818828681,1,0.999942984856778,1,0.999942984856778,1,0.999942984856778,1,0.988277686553549,1,0.200317004196315,1,0.200328407224959,1
US-Me5,ENF,44.4372,-121.5668,1188,6.47,590.81,Csb,-8,4,-9999,NEE,0.417180013689254,1,0.475630276066621,1,0.475630276066621,1,0.750171115674196,1,0.750171115674196,1,0.611239447866758,1,0.750171115674196,1,0.750171115674196,1,0.750171115674196,1,0.750171115674196,1,0.750171115674196,1,0.750171115674196,1
US-Me6,ENF,44.3233,-121.6078,998,7.59,494,Csb,-8,10,-9999,NEE,0.489512932832708,1,0,0,0.0857269503546099,1,0.76953483521068,1,0.803671255736337,1,0.842282019190655,1,0.823336462244472,1,0.912072382144347,1,0.853973717146433,1,0.812562578222778,1,0.892047350855236,1,0.877847309136421,1
US-Men,WAT,43.0772,-89.403,260,7.94,875,Dfa,-6,7,negligible,FC+SC,0.224302568113675,1,1,1,0.224302568113675,1,0.249885934037283,1,0.273497588319645,1,0.640618889323426,1,0,0,0.932945509060096,1,0.928806544127232,1,0.835337635249642,1,0,0,0.937711836787902,1
US-MMS,DBF,39.3232,-86.4131,275,10.85,1032,Cfa,-5,21,CO2,FC+SC,0.47485578128919,1,0.862339060279241,1,0.47485578128919,1,0.904768623024831,1,0.890571440515007,1,0.868954309840314,1,0.686852060864476,1,0.972211771591004,1,0.683978137279492,1,0.932065671766575,1,0,0,0.971783295711061,1
US-MOz,DBF,38.7441,-92.2,219.4,12.11,986,Cfa,-6,14,-9999,NEE,0.402159920479729,1,0.86774459001434,1,0.728657443618824,1,0.692115597705645,1,0.782871366184331,1,0.932982173119541,1,0.898970147308043,1,0.938384011211055,1,0.938359568504758,1,0.958496284708643,1,0.896729565897536,1,0.721593501499153,1
US-Mpj,OSH,34.4385,-106.2377,2196,10.5,385,Bsk,-7,13,negligible,FC+SC,0.499434091387661,1,1,1,0.499434091387661,1,0.77958517582649,1,0.827656699656068,1,0.949287569312838,1,0.912775496595775,1,0.957126939004703,1,0.955104583421071,1,0.969502351372219,1,0,0,0.936188320348143,1
US-MRf,ENF,44.6465,-123.5515,263,10.24,1819.59,Csb,-8,6,-9999,NEE,0.308725087479081,1,0.879811349459912,1,0.370464399817435,1,0.584978320401643,1,0.642391221664385,1,0.719648562300319,1,0.851523277042446,1,0.914479689639434,1,0.836300015213753,1,0.877757492773467,1,0.880553019930017,1,0.910229347329986,1
US-MtB,ENF,32.416,-110.7256,2573,9.3,790,Dwb,-7,11,CO2,FC+SC,0.192136544685088,1,0.545950543523359,1,0.192136544685088,1,0.546308397643349,1,0.592860550991619,1,0.757976516471662,1,0.673616297402705,1,0.873278151190773,1,0.697457679860592,1,0.76077192764086,1,0.854560824827815,1,0.718545141482035,1
US-Myb,WET,38.0499,-121.765,-4,15.9,338,Csa,-8,11,negligible,FC+SC,0.476496391239423,1,1,1,0.476496391239423,1,0.748517089762734,1,0.880340550854488,1,0.898301393728223,1,0.850993446158951,1,0.904751534760246,1,0.902553094408495,1,0.898301393728223,1,0,0,0.868917994026879,1
